StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q7,Q8,Q9,Q10,Q11,Q12
2026-06-02 12:27:49,2026-06-02 12:29:18,0,45.50.72.120,100,88,1,2026-06-02 12:29:18,R_64LnmWBb5ARod2h,,,,,33.8206,-118.034,anonymous,EN,tlZlbeRoCrlchosutuWo,2,2,1,1,,
2026-06-02 12:29:22,2026-06-02 12:30:05,0,45.50.72.120,100,43,1,2026-06-02 12:30:05,R_3P4DtycRQE8RA9l,,,,,33.8206,-118.034,anonymous,EN,tlZlbeRoCrlchosutuWo,2,2,1,1,1,1
2026-06-03 19:37:03,2026-06-03 19:38:11,0,52.144.112.171,100,67,1,2026-06-03 19:38:11,R_6Ej72npboXppFFJ,,,,,42.9332,-85.6531,anonymous,EN,koplfUglzinoThiwaspi,2,2,1,2,2,1
2026-06-03 20:53:11,2026-06-03 20:54:28,0,99.99.103.9,100,77,1,2026-06-03 20:54:29,R_6jrnKCygYk4z8fD,,,,,35.5474,-97.5725,anonymous,EN,niFasiwewoVowlplkihi,2,1,1,1,1,1
2026-06-04 22:14:42,2026-06-04 22:16:37,0,70.173.122.167,100,115,1,2026-06-04 22:16:38,R_5OT6LqUMWzw545v,,,,,36.0113,-115.2038,anonymous,EN,tuthUsajudrowIbesopr,2,1,1,2,1,1
2026-06-05 04:49:52,2026-06-05 04:50:52,0,172.225.199.5,100,60,1,2026-06-05 04:50:52,R_7YzhtXqbYlYAkzz,,,,,39.6511,-104.9921,anonymous,EN,pajUchopHiSpuMokLYEd,2,1,2,1,1,1
2026-06-05 14:01:23,2026-06-05 14:04:27,0,172.59.153.183,100,183,1,2026-06-05 14:04:28,R_31R88n0nMOcnZbk,,,,,40.65,-112.0061,anonymous,EN,hOMaSepexeGEniGiswOd,2,2,1,2,1,1
2026-06-05 22:48:40,2026-06-05 22:51:19,0,77.224.33.94,100,158,1,2026-06-05 22:51:19,R_8DjBwCLI3rC49oQ,,,,,39.4676,-0.3771,anonymous,EN,XEWROnikohlbrUprujIV,2,2,2,2,2,2
2026-06-02 05:53:04,2026-06-02 05:53:15,0,174.242.70.28,25,11,0,2026-06-09 05:53:24,R_7nK7UdtItpeD573,,,,,42.3602,-71.0594,anonymous,EN,DroxUswebudofethOPrl,,,,,,
2026-06-09 16:51:56,2026-06-09 16:53:57,0,165.162.66.146,100,120,1,2026-06-09 16:53:57,R_1pcxJAD7CiEllM5,,,,,34.2106,-118.8716,anonymous,EN,sWlchUbUbRlsigudRObR,1,2,1,1,1,1
2026-06-09 17:30:13,2026-06-09 17:32:11,0,104.249.71.25,100,118,1,2026-06-09 17:32:12,R_1hRDU2yedn44UWB,,,,,33.93,-117.9477,anonymous,EN,hespatRlBEwOrLSwatRa,2,2,1,2,1,1
2026-06-09 17:46:19,2026-06-09 17:47:58,0,172.59.77.175,100,99,1,2026-06-09 17:47:59,R_7q9zrfPomGFH8sN,,,,,39.0397,-94.5936,anonymous,EN,SeTriphuKusPlpriJeth,2,1,1,1,1,2
2026-06-14 13:32:32,2026-06-14 13:41:01,0,168.91.250.212,100,508,1,2026-06-14 13:41:01,R_12Y3WfLd0vv9xF6,,,,,41.9025,-87.6726,anonymous,EN,XEWROnikohlbrUprujIV,2,2,1,2,1,1
