StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q7,Q8,Q9,Q10,Q11,Q12
6/2/2026 12:27,6/2/2026 12:29,0,45.50.72.120,100,88,1,6/2/2026 12:29,R_64LnmWBb5ARod2h,,,,,33.8206,-118.034,anonymous,EN,tlZlbeRoCrlchosutuWo,2,2,1,1,,
6/2/2026 12:29,6/2/2026 12:30,0,45.50.72.120,100,43,1,6/2/2026 12:30,R_3P4DtycRQE8RA9l,,,,,33.8206,-118.034,anonymous,EN,tlZlbeRoCrlchosutuWo,2,2,1,1,1,1
6/3/2026 19:37,6/3/2026 19:38,0,52.144.112.171,100,67,1,6/3/2026 19:38,R_6Ej72npboXppFFJ,,,,,42.9332,-85.6531,anonymous,EN,koplfUglzinoThiwaspi,2,2,1,2,2,1
6/3/2026 20:53,6/3/2026 20:54,0,99.99.103.9,100,77,1,6/3/2026 20:54,R_6jrnKCygYk4z8fD,,,,,35.5474,-97.5725,anonymous,EN,niFasiwewoVowlplkihi,2,1,1,1,1,1
6/4/2026 22:14,6/4/2026 22:16,0,70.173.122.167,100,115,1,6/4/2026 22:16,R_5OT6LqUMWzw545v,,,,,36.0113,-115.2038,anonymous,EN,tuthUsajudrowIbesopr,2,1,1,2,1,1
6/5/2026 4:49,6/5/2026 4:50,0,172.225.199.5,100,60,1,6/5/2026 4:50,R_7YzhtXqbYlYAkzz,,,,,39.6511,-104.9921,anonymous,EN,pajUchopHiSpuMokLYEd,2,1,2,1,1,1
6/5/2026 14:01,6/5/2026 14:04,0,172.59.153.183,100,183,1,6/5/2026 14:04,R_31R88n0nMOcnZbk,,,,,40.65,-112.0061,anonymous,EN,hOMaSepexeGEniGiswOd,2,2,1,2,1,1
6/5/2026 22:48,6/5/2026 22:51,0,77.224.33.94,100,158,1,6/5/2026 22:51,R_8DjBwCLI3rC49oQ,,,,,39.4676,-0.3771,anonymous,EN,XEWROnikohlbrUprujIV,2,2,2,2,2,2
6/9/2026 16:51,6/9/2026 16:53,0,165.162.66.146,100,120,1,6/9/2026 16:53,R_1pcxJAD7CiEllM5,,,,,34.2106,-118.8716,anonymous,EN,sWlchUbUbRlsigudRObR,1,2,1,1,1,1
6/9/2026 17:30,6/9/2026 17:32,0,104.249.71.25,100,118,1,6/9/2026 17:32,R_1hRDU2yedn44UWB,,,,,33.93,-117.9477,anonymous,EN,hespatRlBEwOrLSwatRa,2,2,1,2,1,1
6/9/2026 17:46,6/9/2026 17:47,0,172.59.77.175,100,99,1,6/9/2026 17:47,R_7q9zrfPomGFH8sN,,,,,39.0397,-94.5936,anonymous,EN,SeTriphuKusPlpriJeth,2,1,1,1,1,2
6/14/2026 13:32,6/14/2026 13:41,0,168.91.250.212,100,508,1,6/14/2026 13:41,R_12Y3WfLd0vv9xF6,,,,,41.9025,-87.6726,anonymous,EN,XEWROnikohlbrUprujIV,2,2,1,2,1,1
6/15/2026 10:31,6/15/2026 10:33,0,12.177.3.24,100,79,1,6/15/2026 10:33,R_5pVLmTqVwF2gAkd,,,,,33.7408,-84.2632,anonymous,EN,spejuxLRedeYitrlBrlj,2,1,1,1,1,2
6/15/2026 10:32,6/15/2026 10:33,0,69.162.249.202,100,50,1,6/15/2026 10:33,R_6xDi50Oac3OcCg9,,,,,40.3693,-111.7408,anonymous,EN,qOtrExicohuBRacoquca,2,2,1,2,1,1
6/15/2026 10:34,6/15/2026 10:35,0,67.4.85.197,100,92,1,6/15/2026 10:35,R_5dhVU7s3RgfsWMV,,,,,44.8553,-93.66,anonymous,EN,phAdrUpUflNUgesOchIF,2,2,1,1,2,1
6/15/2026 11:31,6/15/2026 11:32,0,70.111.205.49,100,57,1,6/15/2026 11:32,R_6Xh5s2WnOHJIOQx,,,,,41.0429,-74.1004,anonymous,EN,cicIbawijoyOsTecetho,2,1,1,1,1,1
6/15/2026 11:48,6/15/2026 11:50,0,2.59.157.200,100,129,1,6/15/2026 11:50,R_5lLyJEIz7gopzMM,,,,,25.7701,-80.1928,anonymous,EN,CruKEvubububRaSlPLBr,1,2,1,1,2,1
6/15/2026 12:22,6/15/2026 12:24,0,71.205.140.141,100,136,1,6/15/2026 12:24,R_32txb48xz98okwy,,,,,39.7593,-104.9651,anonymous,EN,hEylzEcrichupRoJavuP,1,2,1,1,1,1
6/15/2026 14:30,6/15/2026 14:31,0,99.47.117.157,100,51,1,6/15/2026 14:31,R_1pPSIqvni5hVuVs,,,,,37.4446,-122.1835,anonymous,EN,cltroxUsToswojikubit,2,2,2,2,1,1
6/15/2026 21:29,6/15/2026 22:31,0,209.147.109.188,100,3688,1,6/15/2026 22:31,R_6fvG6MZvRW1kPRS,,,,,41.0396,-111.9361,anonymous,EN,faCHaswocrlsiVlYuplR,1,2,2,2,1,2
6/16/2026 13:41,6/16/2026 13:44,0,71.217.62.24,100,203,1,6/16/2026 13:44,R_3IUlSJkAl1JeE1P,,,,,35.5071,-78.7392,anonymous,EN,KimlPiFRipLpiCuphETr,2,2,2,1,1,1
6/16/2026 14:10,6/16/2026 14:10,0,136.38.169.198,100,33,1,6/16/2026 14:10,R_5k64kzlo5CkVDqG,,,,,40.7091,-112.1016,anonymous,EN,VovEmUmawrlcreMuzEtR,1,1,1,2,2,2
6/16/2026 14:13,6/16/2026 14:17,0,66.219.211.178,100,194,1,6/16/2026 14:17,R_7i1oIdNc00gWZPj,,,,,40.3693,-111.7408,anonymous,EN,boPhiCriWAKUfephlJlc,2,2,1,1,1,1
6/9/2026 17:32,6/9/2026 17:32,0,104.249.71.25,25,4,0,6/16/2026 17:32,R_6riiRqmJEqkG7H2,,,,,33.93,-117.9477,anonymous,EN,hespatRlBEwOrLSwatRa,,,,,,
6/16/2026 20:10,6/16/2026 20:16,0,47.232.218.217,100,327,1,6/16/2026 20:16,R_3hyjeXhaBolIfQD,,,,,34.1576,-118.2675,anonymous,EN,PhOzithIdrUflZuCoprU,1,2,1,2,2,1
6/17/2026 8:47,6/17/2026 8:48,0,96.224.26.49,100,58,1,6/17/2026 8:48,R_7rxfOUXIfnQ4wPf,,,,,40.6877,-73.9267,anonymous,EN,yeprIQlcHaxuSWePrIsW,2,2,1,1,1,1
6/17/2026 10:06,6/17/2026 10:07,0,24.15.248.67,100,59,1,6/17/2026 10:07,R_7WD320mCLpBL2s4,,,,,42.2645,-88.0034,anonymous,EN,maqataxlxIclpRujUPHL,1,1,2,1,2,1
