Year,Week,Tier,Division,TeamA,TeamB,TeamASeed,TeamBSeed,Notes,Rivalry
2026,6,1,Premier League,Miami (FL),Navy,5,3,NPL,
2026,6,1,Premier League,Florida,Duke,17,2,NPL,
2026,6,1,Premier League,Virginia Tech,Washington,4,13,NPL,
2026,6,1,Premier League,Texas Tech,LSU,12,16,NPL,
2026,6,1,Premier League,Utah,Washington State,15,14,NPL,
2026,6,1,Premier League,Florida State,Ohio State,6,7,NPL,
2026,6,1,Premier League,Georgia,Missouri,18,1,NPL,
2026,7,1,Premier League,Washington,Georgia,13,18,NPL,
2026,7,1,Premier League,LSU,Purdue,16,9,NPL,
2026,7,1,Premier League,Kansas State,Utah,11,15,NPL,
2026,7,1,Premier League,Missouri,Texas Tech,1,12,NPL,
2026,7,1,Premier League,TCU,Miami (FL),10,5,NPL,
2026,7,1,Premier League,Washington State,Florida State,14,6,NPL,
2026,7,1,Premier League,Duke,Navy,2,3,NPL,
2026,7,1,Premier League,Rutgers,Florida,8,17,NPL,
2026,7,1,Premier League,Ohio State,Virginia Tech,7,4,NPL,
2026,8,1,Premier League,Texas Tech,Washington,12,13,NPL,
2026,8,1,Premier League,Virginia Tech,Washington State,4,14,NPL,
2026,8,1,Premier League,Miami (FL),Kansas State,5,11,NPL,
2026,8,1,Premier League,Purdue,Missouri,9,1,NPL,
2026,8,1,Premier League,Florida State,Utah,6,15,NPL,
2026,8,1,Premier League,Florida,LSU,17,16,NPL,
2026,8,1,Premier League,Navy,Rutgers,3,8,NPL,
2026,8,1,Premier League,Georgia,Ohio State,18,7,NPL,
2026,8,1,Premier League,TCU,Duke,10,2,NPL,
2026,9,1,Premier League,Rutgers,TCU,8,10,NPL,
2026,9,1,Premier League,Utah,Virginia Tech,15,4,NPL,
2026,9,1,Premier League,Washington State,Georgia,14,18,NPL,
2026,9,1,Premier League,Ohio State,Texas Tech,7,12,NPL,
2026,9,1,Premier League,Kansas State,Florida State,11,6,NPL,
2026,9,1,Premier League,Washington,Purdue,13,9,NPL,
2026,9,1,Premier League,Missouri,Florida,1,17,NPL,
2026,9,1,Premier League,Duke,Miami (FL),2,5,NPL,
2026,9,1,Premier League,LSU,Navy,16,3,NPL,
2026,10,1,Premier League,Texas Tech,Washington State,12,14,NPL,
2026,10,1,Premier League,Virginia Tech,Florida State,4,6,NPL,
2026,10,1,Premier League,Navy,Missouri,3,1,NPL,
2026,10,1,Premier League,Florida,Washington,17,13,NPL,
2026,10,1,Premier League,Georgia,Utah,18,15,NPL,
2026,10,1,Premier League,Duke,Kansas State,2,11,NPL,
2026,10,1,Premier League,Purdue,Ohio State,9,7,NPL,
2026,10,1,Premier League,TCU,LSU,10,16,NPL,
2026,10,1,Premier League,Miami (FL),Rutgers,5,8,NPL,
2026,11,1,Premier League,Missouri,TCU,1,10,NPL,
2026,11,1,Premier League,Washington State,Purdue,14,9,NPL,
2026,11,1,Premier League,Florida State,Georgia,6,18,NPL,
2026,11,1,Premier League,Rutgers,Duke,8,2,NPL,
2026,11,1,Premier League,Kansas State,Virginia Tech,11,4,NPL,
2026,11,1,Premier League,LSU,Miami (FL),16,5,NPL,
2026,11,1,Premier League,Utah,Texas Tech,15,12,NPL,
2026,11,1,Premier League,Ohio State,Florida,7,17,NPL,
2026,11,1,Premier League,Washington,Navy,13,3,NPL,
2026,12,1,Premier League,Duke,LSU,2,16,NPL,
2026,12,1,Premier League,Miami (FL),Missouri,5,1,NPL,
2026,12,1,Premier League,Georgia,Virginia Tech,18,4,NPL,
2026,12,1,Premier League,Florida,Washington State,17,14,NPL,
2026,12,1,Premier League,Purdue,Utah,9,15,NPL,
2026,12,1,Premier League,TCU,Washington,10,13,NPL,
2026,12,1,Premier League,Rutgers,Kansas State,8,11,NPL,
2026,12,1,Premier League,Navy,Ohio State,3,7,NPL,
2026,12,1,Premier League,Texas Tech,Florida State,12,6,NPL,
2026,13,1,Premier League,Florida State,Purdue,6,9,NPL,
2026,13,1,Premier League,Ohio State,TCU,7,10,NPL,
2026,13,1,Premier League,Missouri,Duke,1,2,NPL,
2026,13,1,Premier League,Washington,Miami (FL),13,5,NPL,
2026,13,1,Premier League,Virginia Tech,Texas Tech,4,12,NPL,
2026,13,1,Premier League,Utah,Florida,15,17,NPL,
2026,13,1,Premier League,LSU,Rutgers,16,8,NPL,
2026,13,1,Premier League,Kansas State,Georgia,11,18,NPL,
2026,13,1,Premier League,Washington State,Navy,14,3,NPL,
2026,14,1,Premier League,Navy,Utah,3,15,NPL,
2026,14,1,Premier League,Purdue,Virginia Tech,9,4,NPL,
2026,14,1,Premier League,Texas Tech,Georgia,12,18,NPL,
2026,14,1,Premier League,Miami (FL),Ohio State,5,7,NPL,
2026,14,1,Premier League,Florida,Florida State,17,6,NPL,
2026,14,1,Premier League,Rutgers,Missouri,8,1,NPL,
2026,14,1,Premier League,TCU,Washington State,10,14,NPL,
2026,14,1,Premier League,Duke,Washington,2,13,NPL,
2026,14,1,Premier League,LSU,Kansas State,16,11,NPL,
2026,15,1,Premier League,Florida State,Navy,6,3,NPL,
2026,15,1,Premier League,Virginia Tech,Florida,4,17,NPL,
2026,15,1,Premier League,Washington State,Miami (FL),14,5,NPL,
2026,15,1,Premier League,Missouri,LSU,1,16,NPL,
2026,15,1,Premier League,Kansas State,Texas Tech,11,12,NPL,
2026,15,1,Premier League,Ohio State,Duke,7,2,NPL,
2026,15,1,Premier League,Georgia,Purdue,18,9,NPL,
2026,15,1,Premier League,Utah,TCU,15,10,NPL,
2026,15,1,Premier League,Washington,Rutgers,13,8,NPL,
2026,16,1,Premier League,Navy,Virginia Tech,3,4,NPL,
2026,16,1,Premier League,Rutgers,Ohio State,8,7,NPL,
2026,16,1,Premier League,LSU,Washington,16,13,NPL,
2026,16,1,Premier League,Missouri,Kansas State,1,11,NPL,
2026,16,1,Premier League,TCU,Florida State,10,6,NPL,
2026,16,1,Premier League,Duke,Washington State,2,14,NPL,
2026,16,1,Premier League,Miami (FL),Utah,5,15,NPL,
2026,16,1,Premier League,Purdue,Texas Tech,9,12,NPL,
2026,16,1,Premier League,Florida,Georgia,17,18,NPL,
2026,17,1,Premier League,Washington State,Rutgers,14,8,NPL,
2026,17,1,Premier League,Kansas State,Purdue,11,9,NPL,
2026,17,1,Premier League,Washington,Missouri,13,1,NPL,
2026,17,1,Premier League,Georgia,Navy,18,3,NPL,
2026,17,1,Premier League,Florida State,Miami (FL),6,5,NPL,
2026,17,1,Premier League,Texas Tech,Florida,12,17,NPL,
2026,17,1,Premier League,Ohio State,LSU,7,16,NPL,
2026,17,1,Premier League,Virginia Tech,TCU,4,10,NPL,
2026,17,1,Premier League,Utah,Duke,15,2,NPL,
2026,1,2,Champions League,Wisconsin,Syracuse,2,6,NPL,
2026,1,2,Champions League,Pitt,NC State,4,5,NPL,
2026,1,2,Champions League,Houston,Southern Methodist,12,3,NPL,
2026,1,2,Champions League,Kentucky,UCLA,16,14,NPL,
2026,1,2,Champions League,Michigan,Mississippi State,9,17,NPL,
2026,1,2,Champions League,Kansas,Oregon,11,13,NPL,
2026,1,2,Champions League,Arkansas,BYU,18,10,NPL,
2026,1,2,Champions League,Army,Illinois,1,7,NPL,
2026,1,2,Champions League,Indiana,Arizona,8,15,NPL,
2026,2,2,Champions League,Illinois,Oregon,7,13,NPL,
2026,2,2,Champions League,NC State,Arkansas,5,18,NPL,
2026,2,2,Champions League,Arizona,Kentucky,15,16,NPL,
2026,2,2,Champions League,BYU,Houston,10,12,NPL,
2026,2,2,Champions League,Pitt,Wisconsin,4,2,NPL,
2026,2,2,Champions League,Southern Methodist,Michigan,3,9,NPL,
2026,2,2,Champions League,Mississippi State,Kansas,17,11,NPL,
2026,2,2,Champions League,Syracuse,Indiana,6,8,NPL,
2026,2,2,Champions League,UCLA,Army,14,1,NPL,
2026,3,2,Champions League,Kansas,Illinois,11,7,NPL,
2026,3,2,Champions League,Wisconsin,Arkansas,2,18,NPL,
2026,3,2,Champions League,Oregon,UCLA,13,14,NPL,
2026,3,2,Champions League,Army,Arizona,1,15,NPL,
2026,3,2,Champions League,Mississippi State,Southern Methodist,17,3,NPL,
2026,3,2,Champions League,Houston,NC State,12,5,NPL,
2026,3,2,Champions League,Kentucky,Syracuse,16,6,NPL,
2026,3,2,Champions League,Indiana,Pitt,8,4,NPL,
2026,3,2,Champions League,Michigan,BYU,9,10,NPL,
2026,4,2,Champions League,BYU,Mississippi State,10,17,NPL,
2026,4,2,Champions League,Pitt,Kentucky,4,16,NPL,
2026,4,2,Champions League,NC State,Michigan,5,9,NPL,
2026,4,2,Champions League,Arizona,Oregon,15,13,NPL,
2026,4,2,Champions League,Arkansas,Indiana,18,8,NPL,
2026,4,2,Champions League,Houston,Wisconsin,12,2,NPL,
2026,4,2,Champions League,Southern Methodist,Kansas,3,11,NPL,
2026,4,2,Champions League,UCLA,Illinois,14,7,NPL,
2026,4,2,Champions League,Syracuse,Army,6,1,NPL,
2026,5,2,Champions League,Oregon,Syracuse,13,6,NPL,
2026,5,2,Champions League,Illinois,Arizona,7,15,NPL,
2026,5,2,Champions League,Army,Pitt,1,4,NPL,
2026,5,2,Champions League,Southern Methodist,BYU,3,10,NPL,
2026,5,2,Champions League,Mississippi State,NC State,17,5,NPL,
2026,5,2,Champions League,Kansas,UCLA,11,14,NPL,
2026,5,2,Champions League,Wisconsin,Michigan,2,9,NPL,
2026,5,2,Champions League,Indiana,Houston,8,12,NPL,
2026,5,2,Champions League,Kentucky,Arkansas,16,18,NPL,
2026,6,2,Champions League,Michigan,Indiana,9,8,NPL,
2026,6,2,Champions League,BYU,Kansas,10,11,NPL,
2026,6,2,Champions League,NC State,Southern Methodist,5,3,NPL,
2026,6,2,Champions League,Mississippi State,Wisconsin,17,2,NPL,
2026,6,2,Champions League,Pitt,Oregon,4,13,NPL,
2026,6,2,Champions League,Houston,Kentucky,12,16,NPL,
2026,6,2,Champions League,Arizona,UCLA,15,14,NPL,
2026,6,2,Champions League,Syracuse,Illinois,6,7,NPL,
2026,6,2,Champions League,Arkansas,Army,18,1,NPL,
2026,7,2,Champions League,Oregon,Arkansas,13,18,NPL,
2026,7,2,Champions League,Kentucky,Michigan,16,9,NPL,
2026,7,2,Champions League,Kansas,Arizona,11,15,NPL,
2026,7,2,Champions League,Army,Houston,1,12,NPL,
2026,7,2,Champions League,BYU,NC State,10,5,NPL,
2026,7,2,Champions League,UCLA,Syracuse,14,6,NPL,
2026,7,2,Champions League,Wisconsin,Southern Methodist,2,3,NPL,
2026,7,2,Champions League,Indiana,Mississippi State,8,17,NPL,
2026,7,2,Champions League,Illinois,Pitt,7,4,NPL,
2026,8,2,Champions League,Houston,Oregon,12,13,NPL,
2026,8,2,Champions League,Pitt,UCLA,4,14,NPL,
2026,8,2,Champions League,NC State,Kansas,5,11,NPL,
2026,8,2,Champions League,Michigan,Army,9,1,NPL,
2026,8,2,Champions League,Syracuse,Arizona,6,15,NPL,
2026,8,2,Champions League,Mississippi State,Kentucky,17,16,NPL,
2026,8,2,Champions League,Southern Methodist,Indiana,3,8,NPL,
2026,8,2,Champions League,Arkansas,Illinois,18,7,NPL,
2026,8,2,Champions League,BYU,Wisconsin,10,2,NPL,
2026,9,2,Champions League,Indiana,BYU,8,10,NPL,
2026,9,2,Champions League,Arizona,Pitt,15,4,NPL,
2026,9,2,Champions League,UCLA,Arkansas,14,18,NPL,
2026,9,2,Champions League,Illinois,Houston,7,12,NPL,
2026,9,2,Champions League,Kansas,Syracuse,11,6,NPL,
2026,9,2,Champions League,Oregon,Michigan,13,9,NPL,
2026,9,2,Champions League,Army,Mississippi State,1,17,NPL,
2026,9,2,Champions League,Wisconsin,NC State,2,5,NPL,
2026,9,2,Champions League,Kentucky,Southern Methodist,16,3,NPL,
2026,10,2,Champions League,Houston,UCLA,12,14,NPL,
2026,10,2,Champions League,Pitt,Syracuse,4,6,NPL,
2026,10,2,Champions League,Southern Methodist,Army,3,1,NPL,
2026,10,2,Champions League,Mississippi State,Oregon,17,13,NPL,
2026,10,2,Champions League,Arkansas,Arizona,18,15,NPL,
2026,10,2,Champions League,Wisconsin,Kansas,2,11,NPL,
2026,10,2,Champions League,Michigan,Illinois,9,7,NPL,
2026,10,2,Champions League,BYU,Kentucky,10,16,NPL,
2026,10,2,Champions League,NC State,Indiana,5,8,NPL,
2026,11,2,Champions League,Army,BYU,1,10,NPL,
2026,11,2,Champions League,UCLA,Michigan,14,9,NPL,
2026,11,2,Champions League,Syracuse,Arkansas,6,18,NPL,
2026,11,2,Champions League,Indiana,Wisconsin,8,2,NPL,
2026,11,2,Champions League,Kansas,Pitt,11,4,NPL,
2026,11,2,Champions League,Kentucky,NC State,16,5,NPL,
2026,11,2,Champions League,Arizona,Houston,15,12,NPL,
2026,11,2,Champions League,Illinois,Mississippi State,7,17,NPL,
2026,11,2,Champions League,Oregon,Southern Methodist,13,3,NPL,
2026,12,2,Champions League,Wisconsin,Kentucky,2,16,NPL,
2026,12,2,Champions League,NC State,Army,5,1,NPL,
2026,12,2,Champions League,Arkansas,Pitt,18,4,NPL,
2026,12,2,Champions League,Mississippi State,UCLA,17,14,NPL,
2026,12,2,Champions League,Michigan,Arizona,9,15,NPL,
2026,12,2,Champions League,BYU,Oregon,10,13,NPL,
2026,12,2,Champions League,Indiana,Kansas,8,11,NPL,
2026,12,2,Champions League,Southern Methodist,Illinois,3,7,NPL,
2026,12,2,Champions League,Houston,Syracuse,12,6,NPL,
2026,13,2,Champions League,Syracuse,Michigan,6,9,NPL,
2026,13,2,Champions League,Illinois,BYU,7,10,NPL,
2026,13,2,Champions League,Army,Wisconsin,1,2,NPL,
2026,13,2,Champions League,Oregon,NC State,13,5,NPL,
2026,13,2,Champions League,Pitt,Houston,4,12,NPL,
2026,13,2,Champions League,Arizona,Mississippi State,15,17,NPL,
2026,13,2,Champions League,Kentucky,Indiana,16,8,NPL,
2026,13,2,Champions League,Kansas,Arkansas,11,18,NPL,
2026,13,2,Champions League,UCLA,Southern Methodist,14,3,NPL,
2026,14,2,Champions League,Southern Methodist,Arizona,3,15,NPL,
2026,14,2,Champions League,Michigan,Pitt,9,4,NPL,
2026,14,2,Champions League,Houston,Arkansas,12,18,NPL,
2026,14,2,Champions League,NC State,Illinois,5,7,NPL,
2026,14,2,Champions League,Mississippi State,Syracuse,17,6,NPL,
2026,14,2,Champions League,Indiana,Army,8,1,NPL,
2026,14,2,Champions League,BYU,UCLA,10,14,NPL,
2026,14,2,Champions League,Wisconsin,Oregon,2,13,NPL,
2026,14,2,Champions League,Kentucky,Kansas,16,11,NPL,
2026,15,2,Champions League,Syracuse,Southern Methodist,6,3,NPL,
2026,15,2,Champions League,Pitt,Mississippi State,4,17,NPL,
2026,15,2,Champions League,UCLA,NC State,14,5,NPL,
2026,15,2,Champions League,Army,Kentucky,1,16,NPL,
2026,15,2,Champions League,Kansas,Houston,11,12,NPL,
2026,15,2,Champions League,Illinois,Wisconsin,7,2,NPL,
2026,15,2,Champions League,Arkansas,Michigan,18,9,NPL,
2026,15,2,Champions League,Arizona,BYU,15,10,NPL,
2026,15,2,Champions League,Oregon,Indiana,13,8,NPL,
2026,16,2,Champions League,Southern Methodist,Pitt,3,4,NPL,
2026,16,2,Champions League,Indiana,Illinois,8,7,NPL,
2026,16,2,Champions League,Kentucky,Oregon,16,13,NPL,
2026,16,2,Champions League,Army,Kansas,1,11,NPL,
2026,16,2,Champions League,BYU,Syracuse,10,6,NPL,
2026,16,2,Champions League,Wisconsin,UCLA,2,14,NPL,
2026,16,2,Champions League,NC State,Arizona,5,15,NPL,
2026,16,2,Champions League,Michigan,Houston,9,12,NPL,
2026,16,2,Champions League,Mississippi State,Arkansas,17,18,NPL,
2026,17,2,Champions League,UCLA,Indiana,14,8,NPL,
2026,17,2,Champions League,Kansas,Michigan,11,9,NPL,
2026,17,2,Champions League,Oregon,Army,13,1,NPL,
2026,17,2,Champions League,Arkansas,Southern Methodist,18,3,NPL,
2026,17,2,Champions League,Syracuse,NC State,6,5,NPL,
2026,17,2,Champions League,Houston,Mississippi State,12,17,NPL,
2026,17,2,Champions League,Illinois,Kentucky,7,16,NPL,
2026,17,2,Champions League,Pitt,BYU,4,10,NPL,
2026,17,2,Champions League,Arizona,Wisconsin,15,2,NPL,
2026,1,3,National League Division 1,Boston College,Georgia Tech,2,6,NPL,
2026,1,3,National League Division 1,Wake Forest,UNC,4,5,NPL,
2026,1,3,National League Division 1,Iowa State,Notre Dame,12,3,NPL,
2026,1,3,National League Division 1,Texas A&M,USC,16,14,NPL,
2026,1,3,National League Division 1,Penn State,Alabama,9,17,NPL,
2026,1,3,National League Division 1,Baylor,Stanford,11,13,NPL,
2026,1,3,National League Division 1,Tennessee,West Virginia,18,10,NPL,
2026,1,3,National League Division 1,Auburn,Michigan State,1,7,NPL,
2026,1,3,National League Division 1,Minnesota,Colorado,8,15,NPL,
2026,2,3,National League Division 1,Michigan State,Stanford,7,13,NPL,
2026,2,3,National League Division 1,UNC,Tennessee,5,18,NPL,
2026,2,3,National League Division 1,Colorado,Texas A&M,15,16,NPL,
2026,2,3,National League Division 1,West Virginia,Iowa State,10,12,NPL,
2026,2,3,National League Division 1,Wake Forest,Boston College,4,2,NPL,
2026,2,3,National League Division 1,Notre Dame,Penn State,3,9,NPL,
2026,2,3,National League Division 1,Alabama,Baylor,17,11,NPL,
2026,2,3,National League Division 1,Georgia Tech,Minnesota,6,8,NPL,
2026,2,3,National League Division 1,USC,Auburn,14,1,NPL,
2026,3,3,National League Division 1,Baylor,Michigan State,11,7,NPL,
2026,3,3,National League Division 1,Boston College,Tennessee,2,18,NPL,
2026,3,3,National League Division 1,Stanford,USC,13,14,NPL,
2026,3,3,National League Division 1,Auburn,Colorado,1,15,NPL,
2026,3,3,National League Division 1,Alabama,Notre Dame,17,3,NPL,
2026,3,3,National League Division 1,Iowa State,UNC,12,5,NPL,
2026,3,3,National League Division 1,Texas A&M,Georgia Tech,16,6,NPL,
2026,3,3,National League Division 1,Minnesota,Wake Forest,8,4,NPL,
2026,3,3,National League Division 1,Penn State,West Virginia,9,10,NPL,
2026,4,3,National League Division 1,West Virginia,Alabama,10,17,NPL,
2026,4,3,National League Division 1,Wake Forest,Texas A&M,4,16,NPL,
2026,4,3,National League Division 1,UNC,Penn State,5,9,NPL,
2026,4,3,National League Division 1,Colorado,Stanford,15,13,NPL,
2026,4,3,National League Division 1,Tennessee,Minnesota,18,8,NPL,
2026,4,3,National League Division 1,Iowa State,Boston College,12,2,NPL,
2026,4,3,National League Division 1,Notre Dame,Baylor,3,11,NPL,
2026,4,3,National League Division 1,USC,Michigan State,14,7,NPL,
2026,4,3,National League Division 1,Georgia Tech,Auburn,6,1,NPL,
2026,5,3,National League Division 1,Stanford,Georgia Tech,13,6,NPL,
2026,5,3,National League Division 1,Michigan State,Colorado,7,15,NPL,
2026,5,3,National League Division 1,Auburn,Wake Forest,1,4,NPL,
2026,5,3,National League Division 1,Notre Dame,West Virginia,3,10,NPL,
2026,5,3,National League Division 1,Alabama,UNC,17,5,NPL,
2026,5,3,National League Division 1,Baylor,USC,11,14,NPL,
2026,5,3,National League Division 1,Boston College,Penn State,2,9,NPL,
2026,5,3,National League Division 1,Minnesota,Iowa State,8,12,NPL,
2026,5,3,National League Division 1,Texas A&M,Tennessee,16,18,NPL,
2026,6,3,National League Division 1,Penn State,Minnesota,9,8,NPL,
2026,6,3,National League Division 1,West Virginia,Baylor,10,11,NPL,
2026,6,3,National League Division 1,UNC,Notre Dame,5,3,NPL,
2026,6,3,National League Division 1,Alabama,Boston College,17,2,NPL,
2026,6,3,National League Division 1,Wake Forest,Stanford,4,13,NPL,
2026,6,3,National League Division 1,Iowa State,Texas A&M,12,16,NPL,
2026,6,3,National League Division 1,Colorado,USC,15,14,NPL,
2026,6,3,National League Division 1,Georgia Tech,Michigan State,6,7,NPL,
2026,6,3,National League Division 1,Tennessee,Auburn,18,1,NPL,
2026,7,3,National League Division 1,Stanford,Tennessee,13,18,NPL,
2026,7,3,National League Division 1,Texas A&M,Penn State,16,9,NPL,
2026,7,3,National League Division 1,Baylor,Colorado,11,15,NPL,
2026,7,3,National League Division 1,Auburn,Iowa State,1,12,NPL,
2026,7,3,National League Division 1,West Virginia,UNC,10,5,NPL,
2026,7,3,National League Division 1,USC,Georgia Tech,14,6,NPL,
2026,7,3,National League Division 1,Boston College,Notre Dame,2,3,NPL,
2026,7,3,National League Division 1,Minnesota,Alabama,8,17,NPL,
2026,7,3,National League Division 1,Michigan State,Wake Forest,7,4,NPL,
2026,8,3,National League Division 1,Iowa State,Stanford,12,13,NPL,
2026,8,3,National League Division 1,Wake Forest,USC,4,14,NPL,
2026,8,3,National League Division 1,UNC,Baylor,5,11,NPL,
2026,8,3,National League Division 1,Penn State,Auburn,9,1,NPL,
2026,8,3,National League Division 1,Georgia Tech,Colorado,6,15,NPL,
2026,8,3,National League Division 1,Alabama,Texas A&M,17,16,NPL,
2026,8,3,National League Division 1,Notre Dame,Minnesota,3,8,NPL,
2026,8,3,National League Division 1,Tennessee,Michigan State,18,7,NPL,
2026,8,3,National League Division 1,West Virginia,Boston College,10,2,NPL,
2026,9,3,National League Division 1,Minnesota,West Virginia,8,10,NPL,
2026,9,3,National League Division 1,Colorado,Wake Forest,15,4,NPL,
2026,9,3,National League Division 1,USC,Tennessee,14,18,NPL,
2026,9,3,National League Division 1,Michigan State,Iowa State,7,12,NPL,
2026,9,3,National League Division 1,Baylor,Georgia Tech,11,6,NPL,
2026,9,3,National League Division 1,Stanford,Penn State,13,9,NPL,
2026,9,3,National League Division 1,Auburn,Alabama,1,17,NPL,
2026,9,3,National League Division 1,Boston College,UNC,2,5,NPL,
2026,9,3,National League Division 1,Texas A&M,Notre Dame,16,3,NPL,
2026,10,3,National League Division 1,Iowa State,USC,12,14,NPL,
2026,10,3,National League Division 1,Wake Forest,Georgia Tech,4,6,NPL,
2026,10,3,National League Division 1,Notre Dame,Auburn,3,1,NPL,
2026,10,3,National League Division 1,Alabama,Stanford,17,13,NPL,
2026,10,3,National League Division 1,Tennessee,Colorado,18,15,NPL,
2026,10,3,National League Division 1,Boston College,Baylor,2,11,NPL,
2026,10,3,National League Division 1,Penn State,Michigan State,9,7,NPL,
2026,10,3,National League Division 1,West Virginia,Texas A&M,10,16,NPL,
2026,10,3,National League Division 1,UNC,Minnesota,5,8,NPL,
2026,11,3,National League Division 1,Auburn,West Virginia,1,10,NPL,
2026,11,3,National League Division 1,USC,Penn State,14,9,NPL,
2026,11,3,National League Division 1,Georgia Tech,Tennessee,6,18,NPL,
2026,11,3,National League Division 1,Minnesota,Boston College,8,2,NPL,
2026,11,3,National League Division 1,Baylor,Wake Forest,11,4,NPL,
2026,11,3,National League Division 1,Texas A&M,UNC,16,5,NPL,
2026,11,3,National League Division 1,Colorado,Iowa State,15,12,NPL,
2026,11,3,National League Division 1,Michigan State,Alabama,7,17,NPL,
2026,11,3,National League Division 1,Stanford,Notre Dame,13,3,NPL,
2026,12,3,National League Division 1,Boston College,Texas A&M,2,16,NPL,
2026,12,3,National League Division 1,UNC,Auburn,5,1,NPL,
2026,12,3,National League Division 1,Tennessee,Wake Forest,18,4,NPL,
2026,12,3,National League Division 1,Alabama,USC,17,14,NPL,
2026,12,3,National League Division 1,Penn State,Colorado,9,15,NPL,
2026,12,3,National League Division 1,West Virginia,Stanford,10,13,NPL,
2026,12,3,National League Division 1,Minnesota,Baylor,8,11,NPL,
2026,12,3,National League Division 1,Notre Dame,Michigan State,3,7,NPL,
2026,12,3,National League Division 1,Iowa State,Georgia Tech,12,6,NPL,
2026,13,3,National League Division 1,Georgia Tech,Penn State,6,9,NPL,
2026,13,3,National League Division 1,Michigan State,West Virginia,7,10,NPL,
2026,13,3,National League Division 1,Auburn,Boston College,1,2,NPL,
2026,13,3,National League Division 1,Stanford,UNC,13,5,NPL,
2026,13,3,National League Division 1,Wake Forest,Iowa State,4,12,NPL,
2026,13,3,National League Division 1,Colorado,Alabama,15,17,NPL,
2026,13,3,National League Division 1,Texas A&M,Minnesota,16,8,NPL,
2026,13,3,National League Division 1,Baylor,Tennessee,11,18,NPL,
2026,13,3,National League Division 1,USC,Notre Dame,14,3,NPL,
2026,14,3,National League Division 1,Notre Dame,Colorado,3,15,NPL,
2026,14,3,National League Division 1,Penn State,Wake Forest,9,4,NPL,
2026,14,3,National League Division 1,Iowa State,Tennessee,12,18,NPL,
2026,14,3,National League Division 1,UNC,Michigan State,5,7,NPL,
2026,14,3,National League Division 1,Alabama,Georgia Tech,17,6,NPL,
2026,14,3,National League Division 1,Minnesota,Auburn,8,1,NPL,
2026,14,3,National League Division 1,West Virginia,USC,10,14,NPL,
2026,14,3,National League Division 1,Boston College,Stanford,2,13,NPL,
